Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMÓVEIS;IPI - VINCULADO À IMPORTACAO;IPI - OUTROS;IRPF;IRPJ - ENTIDADES FINANCEIRAS;IRPJ - DEMAIS EMPRESAS;IRRF - RENDIMENTOS DO TRABALHO;IRRF - RENDIMENTOS DO CAPITAL;IRRF - REMESSAS P/ EXTERIOR;IRRF - OUTROS RENDIMENTOS;IMPOSTO S/ OPERAÇÕES FINANCEIRAS;IMPOSTO TERRITORIAL RURAL;IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF;CPMF;COFINS;COFINS - FINANCEIRAS;COFINS - DEMAIS;CONTRIBUIÇÃO PARA O PIS/PASEP;CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS;CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS;CSLL;CSLL - FINANCEIRAS;CSLL - DEMAIS;CIDE-COMBUSTÍVEIS (parc. não dedutível);CIDE-COMBUSTÍVEIS;CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES;CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público;CONTRIBUICÕES PARA FUNDAF;REFIS;PAES;RETENÇÃO NA FONTE - LEI 10.833, Art. 30;PAGAMENTO UNIFICADO;OUTRAS RECEITAS ADMINISTRADAS;DEMAIS RECEITAS;RECEITA PREVIDENCIÁRIA;RECEITA PREVIDENCIÁRIA - PRÓPRIA;RECEITA PREVIDENCIÁRIA - DEMAIS;ADMINISTRADAS POR OUTROS ÓRGÃOS
2000;Março;RR;2605;0;253833;0;0;25;2453;94599;60818;339398;979393;11652;769;88850;2078;7919;0;3636;1184166;;;382538;;;252008;;;;;2065623;;23242;;;;;12489;;;;;
2000;Março;SC;14547721;8100;5101687;4353315;0;9390699;21439706;2864244;249048;21798700;24594534;3085095;1467453;3190181;1937593;109960;0;9354747;77892352;;;18042158;;;11724788;;;;;7547975;;604458;;;;;368499;;;;;
2000;Março;SP;335955873;66;56276360;52058410;98128472;191850834;313827850;82013858;169814882;1482963571;629060632;497202357;150962070;77976633;178791819;722532;0;867432304;1137048481;;;280835935;;;727999265;;;;;31966260;;9487190;;;;;25134368;;;;;
2000;Março;SE;480266;0;852707;4558290;0;237827;868749;847332;326857;1293324;4926658;214309;79975;174406;163598;13006;0;1166723;7056060;;;2116166;;;1531030;;;;;2697561;;79233;;;;;29036;;;;;
2000;Março;TO;12822;0;354505;40573;0;13813;181773;157503;0;380610;713256;11065;373;84663;1248;38288;0;11245;2885954;;;785864;;;375901;;;;;721342;;33454;;;;;37005;;;;;
2000;Abril;AC;69;0;281844;0;0;53;15332;1534469;504;524943;570225;10449;6731;114929;602;2826;0;314;1290412;;;301953;;;392541;;;;;332296;;25665;;;;;16011;;;;;
2000;Abril;AL;431496;34670;1335161;666420;0;209261;3524041;5599176;941;1902985;3121971;145840;39305;293824;6371;11258;0;75256;12143928;;;4512977;;;2417703;;;;;5373907;;125009;;;;;1368382;;;;;
2000;Abril;AP;18176;0;392010;1372;2089;21265;5564;673690;0;488336;585244;9247;0;27285;359;1261;0;0;1276739;;;440509;;;457162;;;;;1649978;;36021;;;;;7293;;;;;
2000;Abril;AM;11653014;0;1435869;761711;3110;2737765;823793;4396799;10359;9039140;13559355;540540;1566942;1428987;917522;4845;0;998499;47530464;;;12580151;;;16745223;;;;;3539110;;170445;;;;;197829;;;;;
2000;Abril;BA;14688014;339;5351139;9280167;0;14580507;26640025;15155589;1002540;24424129;23222040;11924026;2517595;2490981;2761108;82777;0;13219411;75677934;;;19517134;;;21359469;;;;;9236306;;535570;;;;;395744;;;;;
2000;Abril;CE;6404554;0;4312128;3634189;75;1170030;3516949;14628406;198626;11981523;17432278;2800257;643424;965139;831284;30114;0;4256952;37211974;;;9918156;;;8721801;;;;;7312268;;613761;;;;;141656;;;;;
2000;Abril;DF;1575729;220;3591841;3430141;0;1787121;918468;25559967;8974004;55836397;180539755;92534374;3504535;33361275;21771940;94572;0;228139896;113907394;;;49508485;;;34377628;;;;;55134219;;378417;;;;;79429886;;;;;
2000;Abril;ES;39356046;0;3377041;203797;3739221;27954083;6361286;10574963;86002;21137730;10335622;1566528;5610080;1378488;521351;27261;0;5434;40756335;;;9388925;;;10941146;;;;;3651490;;460277;;;;;438824;;;;;
